Rank,Website,Website URL,Category,Change,Avg. Visit Duration,Pages/Visit,Bounce Rate
1,hm.com,https://www.similarweb.com/website/hm.com,Lifestyle > Fashion and Apparel,=,Sun Dec 31 00:07:18 Hkt 1899,12.86,29.12%
2,asos.com,https://www.similarweb.com/website/asos.com,Lifestyle > Fashion and Apparel,+1,Sun Dec 31 00:07:40 Hkt 1899,11.57,33.53%
3,zara.com,https://www.similarweb.com/website/zara.com,Lifestyle > Fashion and Apparel,-1,Sun Dec 31 00:07:10 Hkt 1899,15.36,26.23%
4,nike.com,https://www.similarweb.com/website/nike.com,Lifestyle > Fashion and Apparel,+1,Sun Dec 31 00:04:24 Hkt 1899,5.64,38.78%
5,macys.com,https://www.similarweb.com/website/macys.com,Lifestyle > Fashion and Apparel,-1,Sun Dec 31 00:05:26 Hkt 1899,6.07,46.01%
6,trendyol.com,https://www.similarweb.com/website/trendyol.com,Lifestyle > Fashion and Apparel,+3,Sun Dec 31 00:06:41 Hkt 1899,8.98,36.08%
7,zozo.jp,https://www.similarweb.com/website/zozo.jp,Lifestyle > Fashion and Apparel,+1,Sun Dec 31 00:07:54 Hkt 1899,12.18,30.52%
8,shein.com,https://www.similarweb.com/website/shein.com,Lifestyle > Fashion and Apparel,-2,Sun Dec 31 00:06:18 Hkt 1899,6.62,50.26%
9,next.co.uk,https://www.similarweb.com/website/next.co.uk,Lifestyle > Fashion and Apparel,-2,Sun Dec 31 00:06:08 Hkt 1899,31.04,35.32%
10,gap.com,https://www.similarweb.com/website/gap.com,Lifestyle > Fashion and Apparel,=,Sun Dec 31 00:06:00 Hkt 1899,7.70,37.36%
11,uniqlo.com,https://www.similarweb.com/website/uniqlo.com,Lifestyle > Fashion and Apparel,=,Sun Dec 31 00:03:46 Hkt 1899,6.57,49.48%
12,myntra.com,https://www.similarweb.com/website/myntra.com,Lifestyle > Fashion and Apparel,+3,Sun Dec 31 00:05:32 Hkt 1899,9.67,46.02%
13,jcpenney.com,https://www.similarweb.com/website/jcpenney.com,Lifestyle > Fashion and Apparel,+1,Sun Dec 31 00:04:34 Hkt 1899,6.10,44.54%
14,nordstrom.com,https://www.similarweb.com/website/nordstrom.com,Lifestyle > Fashion and Apparel,-2,Sun Dec 31 00:04:34 Hkt 1899,6.11,45.16%
15,shop.nordstrom.com,https://www.similarweb.com/website/shop.nordstrom.com,Lifestyle > Fashion and Apparel,-2,Sun Dec 31 00:04:30 Hkt 1899,5.85,47.77%
16,adidas.com,https://www.similarweb.com/website/adidas.com,Lifestyle > Fashion and Apparel,+6,Sun Dec 31 00:06:04 Hkt 1899,8.75,49.10%
17,boohoo.com,https://www.similarweb.com/website/boohoo.com,Lifestyle > Fashion and Apparel,=,Sun Dec 31 00:08:24 Hkt 1899,8.28,43.27%
18,forever21.com,https://www.similarweb.com/website/forever21.com,Lifestyle > Fashion and Apparel,+5,Sun Dec 31 00:07:43 Hkt 1899,7.31,40.92%
19,nordstromrack.com,https://www.similarweb.com/website/nordstromrack.com,Lifestyle > Fashion and Apparel,+2,Sun Dec 31 00:06:19 Hkt 1899,8.44,36.73%
20,narvar.com,https://www.similarweb.com/website/narvar.com,Lifestyle > Fashion and Apparel,-4,Sun Dec 31 00:01:03 Hkt 1899,1.45,77.04%
21,vinted.fr,https://www.similarweb.com/website/vinted.fr,Lifestyle > Fashion and Apparel,+7,Sun Dec 31 00:11:57 Hkt 1899,15.94,25.52%
22,fashionnova.com,https://www.similarweb.com/website/fashionnova.com,Lifestyle > Fashion and Apparel,-2,Sun Dec 31 00:09:28 Hkt 1899,8.24,42.79%
23,zalando.de,https://www.similarweb.com/website/zalando.de,Lifestyle > Fashion and Apparel,-4,Sun Dec 31 00:06:40 Hkt 1899,9.92,35.44%
24,victoriassecret.com,https://www.similarweb.com/website/victoriassecret.com,Lifestyle > Fashion and Apparel,-6,Sun Dec 31 00:05:22 Hkt 1899,6.52,44.51%
25,elle.com,https://www.similarweb.com/website/elle.com,Lifestyle > Fashion and Apparel,=,Sun Dec 31 00:01:09 Hkt 1899,2.02,73.09%
26,zappos.com,https://www.similarweb.com/website/zappos.com,Lifestyle > Fashion and Apparel,+4,Sun Dec 31 00:04:19 Hkt 1899,7.97,42.83%
27,mango.com,https://www.similarweb.com/website/mango.com,Lifestyle > Fashion and Apparel,-3,Sun Dec 31 00:06:16 Hkt 1899,7.77,33.41%
28,urbanoutfitters.com,https://www.similarweb.com/website/urbanoutfitters.com,Lifestyle > Fashion and Apparel,+4,Sun Dec 31 00:06:10 Hkt 1899,7.62,39.97%
29,lamoda.ru,https://www.similarweb.com/website/lamoda.ru,Lifestyle > Fashion and Apparel,+2,Sun Dec 31 00:06:50 Hkt 1899,10.39,42.11%
30,shop.mango.com,https://www.similarweb.com/website/shop.mango.com,Lifestyle > Fashion and Apparel,-4,Sun Dec 31 00:06:24 Hkt 1899,7.86,33.13%
31,teespring.com,https://www.similarweb.com/website/teespring.com,Lifestyle > Fashion and Apparel,+2,Sun Dec 31 00:01:27 Hkt 1899,2.63,66.35%
32,dafiti.com.br,https://www.similarweb.com/website/dafiti.com.br,Lifestyle > Fashion and Apparel,-3,Sun Dec 31 00:06:54 Hkt 1899,8.30,39.22%
33,laredoute.fr,https://www.similarweb.com/website/laredoute.fr,Lifestyle > Fashion and Apparel,-6,Sun Dec 31 00:06:30 Hkt 1899,7.89,35.54%
34,farfetch.com,https://www.similarweb.com/website/farfetch.com,Lifestyle > Fashion and Apparel,+6,Sun Dec 31 00:04:11 Hkt 1899,5.65,47.25%
35,vsco.co,https://www.similarweb.com/website/vsco.co,Lifestyle > Fashion and Apparel,+3,Sun Dec 31 00:04:36 Hkt 1899,12.11,34.66%
36,yoox.com,https://www.similarweb.com/website/yoox.com,Lifestyle > Fashion and Apparel,+5,Sun Dec 31 00:07:27 Hkt 1899,11.21,33.56%
37,debenhams.com,https://www.similarweb.com/website/debenhams.com,Lifestyle > Fashion and Apparel,-1,Sun Dec 31 00:05:40 Hkt 1899,6.64,43.08%
38,bershka.com,https://www.similarweb.com/website/bershka.com,Lifestyle > Fashion and Apparel,-4,Sun Dec 31 00:05:04 Hkt 1899,8.84,28.62%
39,missyusa.com,https://www.similarweb.com/website/missyusa.com,Lifestyle > Fashion and Apparel,-2,Sun Dec 31 00:19:37 Hkt 1899,25.45,13.60%
40,ae.com,https://www.similarweb.com/website/ae.com,Lifestyle > Fashion and Apparel,+2,Sun Dec 31 00:05:21 Hkt 1899,5.95,41.05%
41,stockx.com,https://www.similarweb.com/website/stockx.com,Lifestyle > Fashion and Apparel,+17,Sun Dec 31 00:04:25 Hkt 1899,5.59,46.35%
42,footlocker.com,https://www.similarweb.com/website/footlocker.com,Lifestyle > Fashion and Apparel,+13,Sun Dec 31 00:04:11 Hkt 1899,5.39,49.92%
43,deichmann.com,https://www.similarweb.com/website/deichmann.com,Lifestyle > Fashion and Apparel,+8,Sun Dec 31 00:04:49 Hkt 1899,10.04,33.01%
44,dsw.com,https://www.similarweb.com/website/dsw.com,Lifestyle > Fashion and Apparel,+6,Sun Dec 31 00:04:45 Hkt 1899,5.32,40.09%
45,zalando.it,https://www.similarweb.com/website/zalando.it,Lifestyle > Fashion and Apparel,-10,Sun Dec 31 00:06:43 Hkt 1899,9.98,31.87%
46,zalando.pl,https://www.similarweb.com/website/zalando.pl,Lifestyle > Fashion and Apparel,+3,Sun Dec 31 00:07:48 Hkt 1899,10.62,29.24%
47,lcwaikiki.com,https://www.similarweb.com/website/lcwaikiki.com,Lifestyle > Fashion and Apparel,+10,Sun Dec 31 00:06:31 Hkt 1899,9.84,31.68%
48,musinsa.com,https://www.similarweb.com/website/musinsa.com,Lifestyle > Fashion and Apparel,+8,Sun Dec 31 00:07:05 Hkt 1899,13.46,32.46%
49,bonprix.de,https://www.similarweb.com/website/bonprix.de,Lifestyle > Fashion and Apparel,-4,Sun Dec 31 00:06:28 Hkt 1899,10.53,36.72%
50,privalia.com,https://www.similarweb.com/website/privalia.com,Lifestyle > Fashion and Apparel,+2,Sun Dec 31 00:05:45 Hkt 1899,12.42,34.16%
